"Actual","Predicted"
2.727,0.145959594128936
0,6.25199984903848
3.059,18.3317222131572
0,24.7499059745697
3.168,-5.43411726585437
2.009,-6.78436608841606
0,-3.57407639427802
0,-59.4346890936191
0,-18.8452047806257
0,2.23456715305977
4.915,-1.95296568085401
4.653,7.78610206142275
0,19.619884697064
1.6,0.166904847178795
0,0.7034038308452
1.594,-3.34570444371012
0,-14.1242746647765
1.512,-5.79598951056568
3.874,20.28177406825
4.268,-7.89959160928446
3.76,20.0114923042868
4.525,-9.53609576098826
4.257,3.95915178885
4.518,-5.99877600704865
3.578,11.7824417515425
1.917,25.6012041334159
4.326,-10.9075354598874
4.154,4.17860773383583
3.807,-13.0269041879468
4.685,1.23895877472247
4.254,-0.631352627459666
3.773,-10.0043410511794
1.865,-5.8049558738754
1.822,3.63483601986226
1.8,-10.3208613140851
3.574,21.3440341071
1.007,-7.01717116753817
3.15,-4.48528792738096
0,3.6458438087418
4.201,0.636840494126428
3.985,-5.24643277998411
4.88,1.36812602372833
2.531,-10.0276925714399
0,-21.3364771293052
1.887,27.2735583532537
3.9,17.0538801153937
2.665,0.516667986690688
0,18.6142853769452
0,-5.81128678312457
2.927,9.72977454704339
2.281,-7.50868677457231
3.297,-3.28109895396831
0,14.3337203464936
3.192,-7.67969459526094
3.977,-13.0245578623935
3.015,4.57666062135952
0,-5.09477239184197
3.006,-6.83363315697301
2.831,21.5801813317272
2.814,-10.3634313614014
3.422,10.1693830403549
3.639,25.0655928552441
1.571,-5.91762226481203
3.532,-3.5817497364607
2.093,12.5549255908434
2.823,-5.94062478889775
1.762,-3.19146028168672
3.975,0.473714002687213
0,22.4568012756139
0,-61.2254419884607
0,1.8098732447787
0,19.8973451977566
0,-7.20525175846141
1.466,6.83081605305081
3.062,-4.41099054537441
0,-4.43176882300196
0,-1.68765558767543
4.059,-8.65353359969853
3.112,16.2556865203299
2.742,-3.18382604336418
0,-10.0243953323734
1.555,-5.74312659617932
0,-8.39847206851398
3.739,-5.1695332437706
1.577,-3.84880952030171
3.734,-6.78352473243179
3.562,11.8076862214332
4.068,-4.1664265122371
4.64,10.4873640915391
0,4.67919914898675
3.14,-5.52229483597555
1.584,-5.74354687169118
3.604,22.311013574848
0,-3.87439449292427
1.695,-7.13815596816865
0,22.9458903785124
4.76,-4.88723606326078
0,4.43760532831022
3.855,23.4388759290499
4.533,20.61389467429
1.042,-3.22379252625232
4.296,-3.84083845496328
0,2.20893801831091
3.741,22.2508394251658
3.373,-6.34364847865426
4.245,1.49239655790771
4.858,-5.90856212593145
3.821,3.38143170030476
0,21.2793931174205
0,21.5190195196156
4.958,0.274738299576565
2.057,18.8628234433282
2.185,4.47279809303978
3.841,3.97572010118016
0,-60.9271633441069
4.909,19.3675498431011
2.675,-57.0925479171474
3.63,4.69882536954901
0.995,-3.10730103416236
3.604,-3.37677105354144
1.398,-5.7165864769896
2.268,-10.8713901634372
0,28.409649353655
1.346,-8.64750778367045
3.99,15.1411146172556
4.078,21.7959857198606
4.648,0.220065038927
3.495,22.0802960601279
0,1.72701658814504
4.49,29.9978131229368
2.51,-0.570619818738816
3.543,-7.84159891188286
3.931,-3.82819705670511
3.981,0.984384869085122
0,19.5405776809248
2.621,13.0828822853377
